frame,vector
85,"[[0.49168065190315247, 0.4729888439178467, -0.010206205770373344], [0.5736060738563538, 0.364266574382782, -0.05031927675008774], [0.6062889099121094, 0.5129418969154358, -0.06770393997430801], [0.44048357009887695, 0.5524085164070129, -0.022677026689052582], [0.42742809653282166, 0.5904346108436584, -0.03417479991912842]]"
86,"[[0.5038148164749146, 0.47398096323013306, -0.04781566560268402], [0.5581881999969482, 0.37857162952423096, -0.08931351453065872], [0.5839264392852783, 0.5090709328651428, -0.09105996787548065], [0.4409979283809662, 0.5429335832595825, -0.048414621502161026], [0.4244973063468933, 0.5753138661384583, -0.05164840817451477]]"
87,"[[0.5003191828727722, 0.4619435966014862, -0.04426569491624832], [0.5521261692047119, 0.3738865256309509, -0.08489257097244263], [0.5830838680267334, 0.5093058347702026, -0.09025443345308304], [0.4349277913570404, 0.544215977191925, -0.04842706024646759], [0.41672471165657043, 0.5759888291358948, -0.05219671502709389]]"
88,"[[0.48389309644699097, 0.47479867935180664, -0.010008505545556545], [0.5674377083778381, 0.36560308933258057, -0.05407461151480675], [0.5973246097564697, 0.5135051012039185, -0.07028993964195251], [0.4346385896205902, 0.5555050373077393, -0.023731954395771027], [0.4205915629863739, 0.5920829176902771, -0.035728663206100464]]"
89,"[[0.4969666004180908, 0.4694647789001465, -0.04929414391517639], [0.5575369000434875, 0.3808693587779999, -0.09538041055202484], [0.5737868547439575, 0.5205936431884766, -0.0985637754201889], [0.42632851004600525, 0.5524632334709167, -0.054552432149648666], [0.4097833037376404, 0.5860967636108398, -0.05896163359284401]]"
90,"[[0.46750032901763916, 0.49093174934387207, -0.023341437801718712], [0.5600584745407104, 0.3872481882572174, -0.07380775362253189], [0.5828322768211365, 0.5332598090171814, -0.08966370671987534], [0.4250286817550659, 0.5661300420761108, -0.04002241790294647], [0.41019123792648315, 0.5979906320571899, -0.05019880831241608]]"
91,"[[0.470220148563385, 0.48136311769485474, -0.03850936144590378], [0.5532738566398621, 0.4057962894439697, -0.08810203522443771], [0.5746508836746216, 0.5240124464035034, -0.10183720290660858], [0.4185921251773834, 0.566926121711731, -0.05093584954738617], [0.39923095703125, 0.6002265810966492, -0.05976409465074539]]"
92,"[[0.47504371404647827, 0.47914132475852966, -0.04748639464378357], [0.5383121967315674, 0.3873516321182251, -0.09326105564832687], [0.5727946758270264, 0.5102064609527588, -0.105369932949543], [0.41823840141296387, 0.5637310743331909, -0.05399693548679352], [0.40212661027908325, 0.598345160484314, -0.06356580555438995]]"
93,"[[0.4789685308933258, 0.44927483797073364, -0.058416180312633514], [0.5094336271286011, 0.34736669063568115, -0.10469822585582733], [0.5612812042236328, 0.4969654977321625, -0.11514519155025482], [0.4157731235027313, 0.5580688118934631, -0.05890573188662529], [0.3974683880805969, 0.5875803232192993, -0.06778877973556519]]"
94,"[[0.46805262565612793, 0.45347821712493896, -0.05528564006090164], [0.5069460868835449, 0.34629738330841064, -0.09967727214097977], [0.5549330711364746, 0.4955407977104187, -0.11340191215276718], [0.41308483481407166, 0.560644805431366, -0.061215031892061234], [0.39474591612815857, 0.5932425260543823, -0.07145655900239944]]"
95,"[[0.46737828850746155, 0.4534871578216553, -0.054647162556648254], [0.5066379308700562, 0.3475074768066406, -0.09907083958387375], [0.5545319318771362, 0.4953581690788269, -0.11321631819009781], [0.412293404340744, 0.5599652528762817, -0.060939107090234756], [0.3940752148628235, 0.5928596258163452, -0.07170823961496353]]"
96,"[[0.46732091903686523, 0.4557269513607025, -0.05490487441420555], [0.5071398019790649, 0.34952622652053833, -0.09953153878450394], [0.5546322464942932, 0.4977284073829651, -0.11280863732099533], [0.4142896831035614, 0.5622782707214355, -0.06072130426764488], [0.3961411714553833, 0.5938584208488464, -0.07102783024311066]]"
97,"[[0.46718287467956543, 0.4560226798057556, -0.05464424937963486], [0.5088826417922974, 0.35104337334632874, -0.0994650349020958], [0.5538038015365601, 0.4967700242996216, -0.11272270977497101], [0.4138636589050293, 0.5612462759017944, -0.060756053775548935], [0.3952385485172272, 0.5930763483047485, -0.07096455991268158]]"
98,"[[0.46738573908805847, 0.457261860370636, -0.05413114279508591], [0.5099747180938721, 0.3527161180973053, -0.09802168607711792], [0.5541518330574036, 0.49738064408302307, -0.11147414147853851], [0.4119991958141327, 0.5599751472473145, -0.059945859014987946], [0.39393559098243713, 0.5923901796340942, -0.07083335518836975]]"
99,"[[0.46643155813217163, 0.4574243724346161, -0.053026601672172546], [0.511426568031311, 0.3538944721221924, -0.09658031910657883], [0.5539398193359375, 0.49662697315216064, -0.1101088896393776], [0.4131707549095154, 0.5601746439933777, -0.059541650116443634], [0.3947449326515198, 0.5927420258522034, -0.0704260766506195]]"
100,"[[0.4661163091659546, 0.45612627267837524, -0.053353872150182724], [0.5117667317390442, 0.35348212718963623, -0.09861943870782852], [0.5550001263618469, 0.49584174156188965, -0.11136461049318314], [0.41248345375061035, 0.5597528219223022, -0.05860156938433647], [0.39385169744491577, 0.5927034616470337, -0.06884109973907471]]"
101,"[[0.46680229902267456, 0.457888662815094, -0.053086671978235245], [0.5122957229614258, 0.3554159998893738, -0.09763744473457336], [0.554271399974823, 0.49731168150901794, -0.11036930233240128], [0.41218361258506775, 0.5597279071807861, -0.05841498821973801], [0.3939594328403473, 0.5925329923629761, -0.06862509995698929]]"
102,"[[0.4688895344734192, 0.4590187668800354, -0.05054226145148277], [0.5149658918380737, 0.3554748296737671, -0.0963505282998085], [0.5577051043510437, 0.4960687458515167, -0.10878907144069672], [0.41112738847732544, 0.555934488773346, -0.055441536009311676], [0.39614149928092957, 0.5908223390579224, -0.06541583687067032]]"
103,"[[0.47321128845214844, 0.4595884680747986, -0.050571031868457794], [0.516453742980957, 0.3557049632072449, -0.09444178640842438], [0.5578005313873291, 0.49728912115097046, -0.10613954067230225], [0.4124142527580261, 0.556204617023468, -0.05394764244556427], [0.3954811990261078, 0.5907396674156189, -0.06414610147476196]]"
104,"[[0.47529369592666626, 0.4628164768218994, -0.05013692378997803], [0.5187032222747803, 0.3581480383872986, -0.09419596940279007], [0.5600695610046387, 0.5003027319908142, -0.10517526417970657], [0.4145810902118683, 0.5580232739448547, -0.05333814024925232], [0.3965021073818207, 0.5924515724182129, -0.06339313089847565]]"
105,"[[0.4775274991989136, 0.4554251730442047, -0.04910041764378548], [0.5207875370979309, 0.3597468137741089, -0.09191633760929108], [0.5610107183456421, 0.49817797541618347, -0.10385370254516602], [0.41642993688583374, 0.5584298968315125, -0.05246344953775406], [0.39805567264556885, 0.592385470867157, -0.06309296935796738]]"
106,"[[0.48454663157463074, 0.46113261580467224, -0.045775216072797775], [0.5300688743591309, 0.37249624729156494, -0.08688385784626007], [0.5635696053504944, 0.5010541081428528, -0.09865099936723709], [0.42828458547592163, 0.5681928396224976, -0.050195664167404175], [0.4094543755054474, 0.5988203287124634, -0.06391553580760956]]"
107,"[[0.49481400847435, 0.4936675429344177, -0.037572890520095825], [0.5428571701049805, 0.4309472441673279, -0.09694552421569824], [0.5584246516227722, 0.5052890181541443, -0.11606928706169128], [0.5094996690750122, 0.583701491355896, -0.0885891392827034], [0.4800035357475281, 0.5983785390853882, -0.09899241477251053]]"
108,"[[0.4894355237483978, 0.46789827942848206, -0.02783721312880516], [0.5448973774909973, 0.44258904457092285, -0.08444827049970627], [0.5530761480331421, 0.5161030292510986, -0.10504455864429474], [0.5235633850097656, 0.5749978423118591, -0.09176851063966751], [0.4907976984977722, 0.5922208428382874, -0.10424333065748215]]"
109,"[[0.487020879983902, 0.4651648998260498, -0.01689654029905796], [0.5381763577461243, 0.43674880266189575, -0.07339221239089966], [0.5493672490119934, 0.5067381858825684, -0.09709102660417557], [0.5242353677749634, 0.5635553002357483, -0.08846330642700195], [0.4929658770561218, 0.582456111907959, -0.10142133384943008]]"
110,"[[0.48497140407562256, 0.4586704671382904, -0.013123549520969391], [0.534166693687439, 0.4341657757759094, -0.06754379719495773], [0.5445764064788818, 0.5001029372215271, -0.09124437719583511], [0.5199728608131409, 0.5576047301292419, -0.08405188471078873], [0.4944283664226532, 0.575624406337738, -0.09866022318601608]]"
111,"[[0.4852614402770996, 0.45854657888412476, -0.014482621103525162], [0.5346401929855347, 0.4359421133995056, -0.06860310584306717], [0.54778653383255, 0.4987393021583557, -0.09135488420724869], [0.5202327966690063, 0.5533135533332825, -0.0830368772149086], [0.48826494812965393, 0.5726361274719238, -0.09606939554214478]]"
112,"[[0.4870625436306, 0.46118810772895813, -0.01479202602058649], [0.5360059142112732, 0.4385943114757538, -0.06935283541679382], [0.5470351576805115, 0.49957409501075745, -0.09221373498439789], [0.5193495750427246, 0.5566580295562744, -0.08348561078310013], [0.4879792332649231, 0.5738751888275146, -0.09697990119457245]]"
113,"[[0.48793309926986694, 0.46472397446632385, -0.012750154361128807], [0.5377697944641113, 0.44022366404533386, -0.06576337665319443], [0.5473372936248779, 0.5028349757194519, -0.08793263882398605], [0.5183788537979126, 0.5619420409202576, -0.07923980802297592], [0.48837941884994507, 0.5772891044616699, -0.09360502660274506]]"
114,"[[0.48712605237960815, 0.46516531705856323, -0.01350697036832571], [0.5363677144050598, 0.44026651978492737, -0.06682328879833221], [0.5485040545463562, 0.5039427876472473, -0.0900268703699112], [0.5184192657470703, 0.5632559061050415, -0.0809975191950798], [0.48793143033981323, 0.579136073589325, -0.09498974680900574]]"
115,"[[0.5042056441307068, 0.46596887707710266, -0.03048369474709034], [0.5400471687316895, 0.44940394163131714, -0.08093108236789703], [0.544489324092865, 0.49646317958831787, -0.11429587751626968], [0.5147576928138733, 0.5604650974273682, -0.10567648708820343], [0.4839669466018677, 0.5735064744949341, -0.12164156138896942]]"
116,"[[0.5227033495903015, 0.4700002372264862, -0.08389697968959808], [0.5236594676971436, 0.4119058847427368, -0.0881706029176712], [0.5045343041419983, 0.41862809658050537, -0.116537906229496], [0.4702899158000946, 0.4298434555530548, -0.11832231283187866], [0.4201676845550537, 0.439933717250824, -0.11921169608831406]]"
117,"[[0.5461715459823608, 0.49974969029426575, -0.06282336264848709], [0.5218930244445801, 0.3511267900466919, -0.050978999584913254], [0.4890502393245697, 0.3065063953399658, -0.05890625715255737], [0.446298748254776, 0.30742770433425903, -0.07063458859920502], [0.3867332637310028, 0.34547001123428345, -0.07201819866895676]]"
118,"[[0.5359383821487427, 0.4861714541912079, -0.06491419672966003], [0.4923422932624817, 0.327606737613678, -0.04738364741206169], [0.4600997269153595, 0.2999916672706604, -0.0547909289598465], [0.42564982175827026, 0.3092315196990967, -0.06771066784858704], [0.377326101064682, 0.362229585647583, -0.06922771781682968]]"
119,"[[0.4946981370449066, 0.4917740523815155, -0.08300376683473587], [0.47042280435562134, 0.32054877281188965, -0.06879241019487381], [0.44543227553367615, 0.2910614311695099, -0.07372935116291046], [0.42057812213897705, 0.3078145980834961, -0.08204017579555511], [0.3841511309146881, 0.3639570474624634, -0.08052393049001694]]"
120,"[[0.47676172852516174, 0.5006385445594788, -0.0651756227016449], [0.4663921594619751, 0.31992650032043457, -0.0612238384783268], [0.443195641040802, 0.2886251211166382, -0.06537791341543198], [0.41829970479011536, 0.3075030446052551, -0.07428869605064392], [0.38864266872406006, 0.36263906955718994, -0.07490730285644531]]"
121,"[[0.4585370123386383, 0.48833414912223816, -0.06169870123267174], [0.46908634901046753, 0.3236235976219177, -0.05635966360569], [0.4458460211753845, 0.2914511561393738, -0.05947709083557129], [0.4199560880661011, 0.309475839138031, -0.06983278691768646], [0.39151230454444885, 0.35999852418899536, -0.07042598724365234]]"
122,"[[0.4503062665462494, 0.48311689496040344, -0.05781286582350731], [0.46552330255508423, 0.3202958106994629, -0.05307764932513237], [0.44343432784080505, 0.28790605068206787, -0.05654701218008995], [0.4179753065109253, 0.3046189546585083, -0.06840769946575165], [0.39040607213974, 0.3545910716056824, -0.07034885138273239]]"
123,"[[0.4472157955169678, 0.4800516963005066, -0.05247146636247635], [0.4603113532066345, 0.320845365524292, -0.044894833117723465], [0.43912240862846375, 0.2854463458061218, -0.04789178818464279], [0.41313281655311584, 0.30175161361694336, -0.06096741929650307], [0.3843728303909302, 0.3534175753593445, -0.06331796199083328]]"
124,"[[0.44608235359191895, 0.47879451513290405, -0.04656384512782097], [0.4597887694835663, 0.3207409977912903, -0.03986525908112526], [0.43772581219673157, 0.28451961278915405, -0.04370708018541336], [0.4113891124725342, 0.2999228239059448, -0.05747317895293236], [0.3827250003814697, 0.3509814739227295, -0.06064577400684357]]"
125,"[[0.44637560844421387, 0.47935396432876587, -0.04891611635684967], [0.4590349495410919, 0.31988009810447693, -0.04272708296775818], [0.4365812838077545, 0.2846145033836365, -0.04643584042787552], [0.4105880856513977, 0.3010619878768921, -0.059640418738126755], [0.38228121399879456, 0.3526310324668884, -0.062412433326244354]]"
126,"[[0.44621866941452026, 0.4794648289680481, -0.049213483929634094], [0.4589013457298279, 0.3206077218055725, -0.04343719035387039], [0.4361793100833893, 0.28664645552635193, -0.047008216381073], [0.41022029519081116, 0.3023088872432709, -0.059925999492406845], [0.3832743167877197, 0.351442813873291, -0.06284117698669434]]"
127,"[[0.44613972306251526, 0.478683739900589, -0.04774066433310509], [0.4592580199241638, 0.3199751377105713, -0.041559189558029175], [0.4367407560348511, 0.2841862440109253, -0.045418139547109604], [0.4103774428367615, 0.30057260394096375, -0.058669205754995346], [0.3817385733127594, 0.35217994451522827, -0.061051029711961746]]"
128,"[[0.44470542669296265, 0.4785681962966919, -0.04916328936815262], [0.4569898843765259, 0.3189154267311096, -0.04315968602895737], [0.43554627895355225, 0.2852741479873657, -0.04757910221815109], [0.4089769423007965, 0.30166423320770264, -0.06073769927024841], [0.3823123872280121, 0.3509381413459778, -0.06400634348392487]]"
129,"[[0.4424407184123993, 0.47926488518714905, -0.047841060906648636], [0.45604178309440613, 0.31921473145484924, -0.04118543863296509], [0.4344421625137329, 0.28533703088760376, -0.0450734868645668], [0.4072892963886261, 0.301971435546875, -0.058257095515728], [0.37995445728302, 0.3514147400856018, -0.061373159289360046]]"
130,"[[0.44201692938804626, 0.4787836968898773, -0.04794861748814583], [0.45507702231407166, 0.3201581835746765, -0.04128459841012955], [0.4330936670303345, 0.28497594594955444, -0.04486951231956482], [0.4061764180660248, 0.30115237832069397, -0.05852564051747322], [0.37812331318855286, 0.35297536849975586, -0.06084210425615311]]"
131,"[[0.443438857793808, 0.47840026021003723, -0.046971939504146576], [0.4552599787712097, 0.31951022148132324, -0.04198700934648514], [0.43171557784080505, 0.28513097763061523, -0.046246230602264404], [0.4056274890899658, 0.3010087013244629, -0.05947916954755783], [0.37805160880088806, 0.3510245680809021, -0.06210019439458847]]"
132,"[[0.4464486241340637, 0.47466403245925903, -0.04809879511594772], [0.4551466703414917, 0.3183731436729431, -0.04256506636738777], [0.43114790320396423, 0.2840028405189514, -0.04692555218935013], [0.4052111506462097, 0.3011088967323303, -0.05991075932979584], [0.37699633836746216, 0.3531506657600403, -0.06199176609516144]]"
133,"[[0.4846114218235016, 0.45246654748916626, -0.046075694262981415], [0.4493594467639923, 0.3375702500343323, -0.0340389683842659], [0.41624507308006287, 0.30851081013679504, -0.0431906133890152], [0.39330601692199707, 0.3159453272819519, -0.05470170080661774], [0.37067750096321106, 0.355053186416626, -0.05867929011583328]]"
134,"[[0.495522677898407, 0.4330022931098938, -0.05796072259545326], [0.4466269314289093, 0.4724046289920807, -0.007997303269803524], [0.41978761553764343, 0.47807034850120544, -0.03511985391378403], [0.39138585329055786, 0.47553911805152893, -0.04150760918855667], [0.3682428300380707, 0.4725516736507416, -0.041626568883657455]]"
135,"[[0.49176567792892456, 0.42270469665527344, -0.04963088780641556], [0.4392428398132324, 0.5331708788871765, -0.024650026112794876], [0.4160183370113373, 0.5483675003051758, -0.05259537324309349], [0.39445292949676514, 0.5513928532600403, -0.05011619254946709], [0.3726707696914673, 0.5361120700836182, -0.04619763419032097]]"
136,"[[0.5010039806365967, 0.42788460850715637, -0.05453477054834366], [0.4413986802101135, 0.54195237159729, -0.03820464015007019], [0.415086030960083, 0.5535337328910828, -0.06257688999176025], [0.39559027552604675, 0.5596455931663513, -0.056653160601854324], [0.3736717402935028, 0.5329006910324097, -0.053656358271837234]]"
137,"[[0.5016884803771973, 0.424466997385025, -0.052007149904966354], [0.4424862265586853, 0.5395280122756958, -0.03519638255238533], [0.4157537519931793, 0.5487855076789856, -0.06121286004781723], [0.3954436480998993, 0.5558351874351501, -0.0557725615799427], [0.37430340051651, 0.5315962433815002, -0.05240524560213089]]"
138,"[[0.5006040930747986, 0.4222225844860077, -0.05176359787583351], [0.4438816010951996, 0.5383971929550171, -0.035538170486688614], [0.41670769453048706, 0.5485063195228577, -0.062359996140003204], [0.396640419960022, 0.555751383304596, -0.057108428329229355], [0.3754376173019409, 0.5304876565933228, -0.053886011242866516]]"
139,"[[0.49901288747787476, 0.4215865135192871, -0.0517154335975647], [0.44359707832336426, 0.5382198095321655, -0.035234954208135605], [0.41682493686676025, 0.5490640997886658, -0.0617942176759243], [0.39675164222717285, 0.5562596321105957, -0.05693817883729935], [0.37620675563812256, 0.531722903251648, -0.053800564259290695]]"
140,"[[0.4987008273601532, 0.4214284420013428, -0.05081263929605484], [0.4436531960964203, 0.5374891757965088, -0.034635595977306366], [0.41670483350753784, 0.549355685710907, -0.061439789831638336], [0.39667171239852905, 0.556678056716919, -0.05658254027366638], [0.37555715441703796, 0.532278835773468, -0.0535627081990242]]"
141,"[[0.498198926448822, 0.42164525389671326, -0.05117211863398552], [0.4441227316856384, 0.5386877655982971, -0.03468265384435654], [0.41678133606910706, 0.5500160455703735, -0.06115907058119774], [0.3965868353843689, 0.557726263999939, -0.05628400668501854], [0.37531065940856934, 0.5331669449806213, -0.05308334901928902]]"
142,"[[0.49827590584754944, 0.4205060601234436, -0.04936697334051132], [0.4434676468372345, 0.5376139879226685, -0.03253551200032234], [0.4169982075691223, 0.548816978931427, -0.0595891997218132], [0.39689797163009644, 0.5566673278808594, -0.05513734742999077], [0.37608152627944946, 0.5343905091285706, -0.05183728411793709]]"
143,"[[0.49785807728767395, 0.42057889699935913, -0.04774736240506172], [0.44303810596466064, 0.5370432138442993, -0.03143884986639023], [0.41664066910743713, 0.5484581589698792, -0.058717384934425354], [0.3967980444431305, 0.5560382008552551, -0.05444977432489395], [0.37624698877334595, 0.5338830947875977, -0.05112982541322708]]"
144,"[[0.4973295032978058, 0.41895097494125366, -0.049222782254219055], [0.44375094771385193, 0.5363194942474365, -0.03284350037574768], [0.4167826473712921, 0.5475970506668091, -0.059689443558454514], [0.39663493633270264, 0.5554599761962891, -0.05522329732775688], [0.37600845098495483, 0.5352674722671509, -0.05191149562597275]]"
145,"[[0.49680784344673157, 0.4202805757522583, -0.04930390045046806], [0.4430221915245056, 0.5369492769241333, -0.03286127373576164], [0.41603341698646545, 0.5483943223953247, -0.05970587208867073], [0.39611321687698364, 0.5557249188423157, -0.05533372983336449], [0.37539142370224, 0.5348544716835022, -0.05208342522382736]]"
146,"[[0.495663583278656, 0.4190990924835205, -0.049136217683553696], [0.4422338306903839, 0.5372656583786011, -0.03293411806225777], [0.4145103096961975, 0.5490284562110901, -0.060147739946842194], [0.39535534381866455, 0.5557137131690979, -0.05557221919298172], [0.3741926848888397, 0.5326430201530457, -0.05181780457496643]]"
147,"[[0.4923296272754669, 0.42691347002983093, -0.05607185885310173], [0.44034111499786377, 0.5336276292800903, -0.03653225302696228], [0.41449031233787537, 0.5436015129089355, -0.06177166476845741], [0.3934651017189026, 0.5513089299201965, -0.056864622980356216], [0.3725299537181854, 0.5305368900299072, -0.05373108759522438]]"
148,"[[0.4642033576965332, 0.46880510449409485, -0.0740392878651619], [0.4346310496330261, 0.5331138968467712, -0.0549636073410511], [0.4117024838924408, 0.545353889465332, -0.07230093330144882], [0.3914639949798584, 0.5537763237953186, -0.06588451564311981], [0.37233152985572815, 0.5316017270088196, -0.06524375826120377]]"
149,"[[0.44029057025909424, 0.4765213429927826, -0.052735183387994766], [0.4456750750541687, 0.5216959118843079, -0.0356098935008049], [0.419140100479126, 0.5397128462791443, -0.0585634782910347], [0.39718663692474365, 0.5551601052284241, -0.055163975805044174], [0.3758968710899353, 0.53208327293396, -0.05579698458313942]]"
150,"[[0.43117865920066833, 0.4787653386592865, -0.05905153602361679], [0.4423454701900482, 0.5211872458457947, -0.04028983414173126], [0.41674527525901794, 0.5354535579681396, -0.06067159026861191], [0.3948381841182709, 0.5545668005943298, -0.0582820363342762], [0.37244924902915955, 0.5308727025985718, -0.06000165268778801]]"
151,"[[0.4336102604866028, 0.4792982041835785, -0.057135824114084244], [0.443844735622406, 0.5212527513504028, -0.037290144711732864], [0.41818392276763916, 0.5367555618286133, -0.05877493694424629], [0.39611896872520447, 0.5564432144165039, -0.05607457458972931], [0.37350156903266907, 0.534551203250885, -0.05771563947200775]]"
152,"[[0.43182283639907837, 0.4791303277015686, -0.06055046617984772], [0.43990713357925415, 0.522590696811676, -0.040353983640670776], [0.4151930510997772, 0.5384116172790527, -0.06178148463368416], [0.3931275010108948, 0.5578398704528809, -0.0588693842291832], [0.3707897961139679, 0.5347495079040527, -0.05933438986539841]]"
153,"[[0.4295956790447235, 0.47922107577323914, -0.05886252969503403], [0.4397217333316803, 0.5216307044029236, -0.04014350101351738], [0.4144779443740845, 0.5382674336433411, -0.060846880078315735], [0.39308708906173706, 0.5584845542907715, -0.05779894068837166], [0.3706541657447815, 0.5369772911071777, -0.0586773157119751]]"
154,"[[0.42791470885276794, 0.47971922159194946, -0.06090882420539856], [0.43812742829322815, 0.5232143402099609, -0.04194343835115433], [0.41339436173439026, 0.5389602184295654, -0.0620218962430954], [0.3923865556716919, 0.5585973262786865, -0.05934114381670952], [0.37020260095596313, 0.5369773507118225, -0.06007670611143112]]"
155,"[[0.4280296862125397, 0.48001059889793396, -0.06008504331111908], [0.43755096197128296, 0.5226758718490601, -0.04140055179595947], [0.41375789046287537, 0.5382876396179199, -0.06168239936232567], [0.39222484827041626, 0.5587279796600342, -0.05889903008937836], [0.3699508011341095, 0.5394238829612732, -0.059957556426525116]]"
156,"[[0.4262976348400116, 0.4786418676376343, -0.05844522640109062], [0.4362308979034424, 0.5226954817771912, -0.03929882124066353], [0.41211998462677, 0.538195788860321, -0.060596924275159836], [0.39076822996139526, 0.5586312413215637, -0.05825691670179367], [0.3685241937637329, 0.5388025641441345, -0.05889898166060448]]"
157,"[[0.42525026202201843, 0.47850412130355835, -0.06100333109498024], [0.4348068833351135, 0.5217080116271973, -0.04171724244952202], [0.4105466306209564, 0.5386382341384888, -0.06244055554270744], [0.38917869329452515, 0.5587831735610962, -0.05967923253774643], [0.3663061857223511, 0.5363385677337646, -0.06007404252886772]]"
158,"[[0.43530508875846863, 0.4602387547492981, -0.043319497257471085], [0.43308377265930176, 0.5283470153808594, -0.02288242243230343], [0.4064977169036865, 0.5410133600234985, -0.0464215911924839], [0.38601231575012207, 0.5534127950668335, -0.045435644686222076], [0.3647049367427826, 0.5379603505134583, -0.045909199863672256]]"
159,"[[0.4938340187072754, 0.5163685083389282, -0.08409436047077179], [0.4414398968219757, 0.4225780963897705, -0.07136442512273788], [0.3993905186653137, 0.4069552719593048, -0.08288948237895966], [0.3638215959072113, 0.41042280197143555, -0.09113986790180206], [0.32652002573013306, 0.44432035088539124, -0.08655132353305817]]"
160,"[[0.3072391152381897, 0.7774940133094788, -0.07506899535655975], [0.37339672446250916, 0.7126452922821045, -0.05072680860757828], [0.39934849739074707, 0.7112860679626465, -0.043730564415454865], [0.42750000953674316, 0.7209615707397461, -0.038823869079351425], [0.4554622173309326, 0.7525755763053894, -0.03149653226137161]]"
