frame,vector
10,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
11,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
12,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
13,"[[0.2829205095767975, 0.6307091116905212, -0.06420519948005676], [0.3026573359966278, 0.49925166368484497, -0.0552300401031971], [0.2776855230331421, 0.4720191955566406, -0.058167826384305954], [0.2504384219646454, 0.4854716658592224, -0.06645271927118301], [0.2189793735742569, 0.5280457139015198, -0.06596211344003677]]"
14,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
15,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
16,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
17,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
18,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
19,"[[0.283235639333725, 0.6281405687332153, -0.06959467381238937], [0.301693856716156, 0.4977644681930542, -0.05644669756293297], [0.2772541642189026, 0.47159281373023987, -0.0583425797522068], [0.24929752945899963, 0.485758900642395, -0.065292589366436], [0.2175368070602417, 0.5274173021316528, -0.06469593197107315]]"
